Date,Ticker,Open,High,Low,Close_Price,Volume,RSI,MACD,Signal_Line,MACD_Hist,SMA_50,SMA_200,Vol_Pattern
06-02-2025,RELIANCE.NS,1268.63,1282.88,1265.3,1276.45,9956001,56.12,4.39,1.19,3.2074,1253.92,1388.96,Drying Up
07-02-2025,RELIANCE.NS,1271.07,1278.59,1256.98,1261.66,8764283,51.69,4.22,1.79,2.4302,1253.41,1388.03,Drying Up
10-02-2025,RELIANCE.NS,1259.47,1261.46,1240.6,1248.66,6970972,48.1,3.0,2.04,0.9698,1252.31,1387.07,Drying Up
11-02-2025,RELIANCE.NS,1259.52,1259.52,1225.21,1229.94,8859714,43.42,0.52,1.73,-1.2099,1250.54,1385.97,Drying Up
12-02-2025,RELIANCE.NS,1214.6,1222.02,1188.6,1211.71,21131654,39.4,-2.88,0.81,-3.6917,1248.7,1384.82,Drying Up
13-02-2025,RELIANCE.NS,1212.21,1223.12,1207.18,1211.26,8511216,39.31,-5.55,-0.46,-5.0897,1246.59,1383.61,Drying Up
14-02-2025,RELIANCE.NS,1214.15,1219.13,1200.65,1212.41,10298145,39.71,-7.49,-1.87,-5.6218,1244.71,1382.39,Drying Up
17-02-2025,RELIANCE.NS,1206.28,1222.62,1199.71,1220.03,8166683,42.47,-8.31,-3.16,-5.1573,1243.32,1381.21,Drying Up
18-02-2025,RELIANCE.NS,1219.98,1225.01,1211.26,1220.53,6673250,42.65,-8.83,-4.29,-4.5353,1242.13,1380.2,Drying Up
19-02-2025,RELIANCE.NS,1214.65,1227.85,1212.71,1222.57,6217338,43.45,-8.96,-5.23,-3.7382,1241.12,1379.26,Drying Up
20-02-2025,RELIANCE.NS,1219.08,1234.42,1217.14,1228.1,7795582,45.66,-8.53,-5.89,-2.6423,1240.52,1378.45,Drying Up
21-02-2025,RELIANCE.NS,1223.81,1235.07,1217.29,1223.26,6904025,44.04,-8.48,-6.4,-2.0714,1239.63,1377.52,Drying Up
24-02-2025,RELIANCE.NS,1211.71,1218.38,1205.68,1209.72,7172498,39.78,-9.42,-7.01,-2.4111,1238.56,1376.65,Drying Up
25-02-2025,RELIANCE.NS,1206.18,1216.14,1196.72,1199.21,11552182,36.8,-10.89,-7.78,-3.1044,1237.74,1375.66,Drying Up
27-02-2025,RELIANCE.NS,1207.98,1210.17,1195.87,1202.3,11509215,38.26,-11.67,-8.56,-3.1082,1236.82,1374.71,Drying Up
28-02-2025,RELIANCE.NS,1197.22,1212.51,1188.55,1195.33,23007298,36.23,-12.7,-9.39,-3.3145,1236.22,1373.64,Drying Up
03-03-2025,RELIANCE.NS,1199.21,1201.65,1151.4,1166.59,17944938,29.3,-15.66,-10.64,-5.0183,1235.54,1372.45,Drying Up
04-03-2025,RELIANCE.NS,1157.58,1169.33,1154.94,1157.28,11377373,27.47,-18.54,-12.22,-6.3204,1234.34,1371.16,Drying Up
05-03-2025,RELIANCE.NS,1156.38,1178.29,1152.4,1170.92,8664095,33.98,-19.5,-13.68,-5.823,1233.4,1369.89,Drying Up
06-03-2025,RELIANCE.NS,1192.24,1209.12,1180.44,1204.79,14468014,46.76,-17.33,-14.41,-2.92,1233.26,1368.78,Drying Up
07-03-2025,RELIANCE.NS,1211.16,1249.81,1207.18,1244.83,16474965,57.29,-12.24,-13.97,1.7392,1233.83,1367.76,Drying Up
10-03-2025,RELIANCE.NS,1240.05,1253.0,1230.49,1233.47,11931051,54.03,-9.01,-12.98,3.9711,1234.38,1366.55,Drying Up
11-03-2025,RELIANCE.NS,1235.07,1244.53,1224.86,1242.34,10089838,56.13,-5.67,-11.52,5.8459,1235.02,1365.41,Drying Up
12-03-2025,RELIANCE.NS,1253.0,1257.98,1239.05,1252.05,11977555,58.37,-2.22,-9.66,7.4393,1235.73,1364.4,Drying Up
13-03-2025,RELIANCE.NS,1255.04,1259.12,1238.9,1242.94,9505270,55.5,-0.22,-7.77,7.5545,1235.85,1363.38,Drying Up
17-03-2025,RELIANCE.NS,1237.21,1252.4,1228.19,1233.92,16640917,52.74,0.64,-6.09,6.7263,1235.61,1362.4,Drying Up
19-03-2025,RELIANCE.NS,1236.11,1248.26,1233.87,1242.19,16162399,54.96,1.96,-4.48,6.4377,1236.19,1361.54,Drying Up
20-03-2025,RELIANCE.NS,1246.87,1267.94,1245.08,1264.1,15971477,60.27,4.72,-2.64,7.3586,1236.75,1360.76,Expanding
21-03-2025,RELIANCE.NS,1269.93,1275.9,1265.05,1271.27,21780769,61.85,7.4,-0.63,8.0318,1236.97,1359.62,Expanding
24-03-2025,RELIANCE.NS,1285.86,1300.8,1279.14,1296.92,20299319,66.94,11.46,1.79,9.6752,1237.91,1359.17,Expanding
25-03-2025,RELIANCE.NS,1302.5,1302.5,1277.5,1280.34,13713899,61.25,13.19,4.07,9.1235,1238.78,1358.52,Expanding
26-03-2025,RELIANCE.NS,1285.86,1288.65,1263.7,1267.99,12074747,57.35,13.41,5.93,7.4741,1239.44,1357.76,Expanding
27-03-2025,RELIANCE.NS,1273.07,1279.89,1266.24,1273.12,15028056,58.53,13.84,7.52,6.3218,1240.22,1356.83,Expanding
28-03-2025,RELIANCE.NS,1274.91,1290.6,1263.95,1270.03,18147129,57.5,13.77,8.77,5.0026,1240.68,1355.87,Expanding
01-04-2025,RELIANCE.NS,1259.57,1272.82,1244.33,1247.62,12099648,50.53,11.77,9.37,2.4033,1240.4,1354.88,Expanding
